Product,Theme/Deck,Card Name,Set Code,Quantity
Legendary Modern Decks 2026,Saber,Saber Combination,L26D-ENX25,1
Legendary Modern Decks 2026,Mitsurugi,"Mitsurugi no Mikoto, Aramasa",L26D-ENM06,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Raye,L26D-ENS01,1
Limited Pack World Championship 2025,None,Maiden of White,25LP-EN018,1
Limited Pack World Championship 2025,Azamina,Azamina Mu Rcielago,25LP-EN011,1
Limited Pack World Championship 2025,Sangen,Sangen Kaimen,25LP-EN008,1
Limited Pack World Championship 2025,Ryzeal,Ryzeal Cross,25LP-EN015,1
The Chronicles Deck,Branded/Despia,Fallen of Albaz,CH01-EN001,3
The Chronicles Deck,Branded/Despia,"Incredible Ecclesia, the Virtuous",CH01-EN002,3
The Chronicles Deck,Branded/Despia,Aluber the Jester of Despia,CH01-EN003,3
The Chronicles Deck,Branded/Despia,"Blazing Cartesia, the Virtuous",CH01-EN004,3
The Chronicles Deck,Branded/Despia,Albion the Shrouded Dragon,CH01-EN005,3
The Chronicles Deck,Branded/Despia,"Guiding Quem, the Virtuous",CH01-EN006,3
The Chronicles Deck,Branded/Despia,Springans Kitt,CH01-EN007,3
The Chronicles Deck,Branded/Despia,Tri-Brigade Mercourier,CH01-EN008,3
The Chronicles Deck,Branded/Despia,Despian Tragedy,CH01-EN009,3
The Chronicles Deck,Branded/Despia,The Bystial Lubellion,CH01-EN010,3
The Chronicles Deck,Branded/Despia,Bystial Magnamhut,CH01-EN011,3
The Chronicles Deck,Branded/Despia,Bystial Saronir,CH01-EN012,3
The Chronicles Deck,Branded/Despia,Bystial Druiswurm,CH01-EN013,3
The Chronicles Deck,Branded/Despia,"Dogmatika Ecclesia, the Virtuous",CH01-EN014,3
The Chronicles Deck,Branded/Despia,"Dogmatika Fleurdelis, the Knighted",CH01-EN015,3
The Chronicles Deck,Branded/Despia,Dogmatika Maximus,CH01-EN016,3
The Chronicles Deck,Branded/Despia,"Nibiru, the Primal Being",CH01-EN017,3
The Chronicles Deck,Branded/Despia,Keeper of Dragon Magic,CH01-EN018,3
The Chronicles Deck,Branded/Despia,The Fallen & The Virtuous,CH01-EN019,3
The Chronicles Deck,Branded/Despia,Branded Fusion,CH01-EN020,3
The Chronicles Deck,Branded/Despia,Branded in White,CH01-EN021,3
The Chronicles Deck,Branded/Despia,Branded in Red,CH01-EN022,3
The Chronicles Deck,Branded/Despia,Branded Opening,CH01-EN023,3
The Chronicles Deck,Branded/Despia,Branded in High Spirits,CH01-EN024,3
The Chronicles Deck,Branded/Despia,Branded Lost,CH01-EN025,3
The Chronicles Deck,Branded/Despia,Branded Regained,CH01-EN026,3
The Chronicles Deck,Branded/Despia,Nadir Servant,CH01-EN027,3
The Chronicles Deck,Branded/Despia,Branded Bond,CH01-EN028,3
The Chronicles Deck,Branded/Despia,Fusion Deployment,CH01-EN029,3
The Chronicles Deck,Branded/Despia,Triple Tactics Thrust,CH01-EN030,3
The Chronicles Deck,Branded/Despia,Foolish Burial,CH01-EN031,3
The Chronicles Deck,Branded/Despia,Gold Sarcophagus,CH01-EN032,3
The Chronicles Deck,Branded/Despia,Super Polymerization,CH01-EN033,3
The Chronicles Deck,Branded/Despia,Branded Retribution,CH01-EN034,3
The Chronicles Deck,Branded/Despia,Branded Banishment,CH01-EN035,3
The Chronicles Deck,Branded/Despia,Branded Sword,CH01-EN036,3
The Chronicles Deck,Branded/Despia,Branded Beast,CH01-EN037,3
The Chronicles Deck,Branded/Despia,The Black Goat Laughs,CH01-EN038,3
The Chronicles Deck,Branded/Despia,Dogmatika Punishment,CH01-EN039,3
The Chronicles Deck,Branded/Despia,Fusion Duplication,CH01-EN040,3
The Chronicles Deck,Branded/Despia,The Dragon that Devours the Dogma,CH01-EN041,3
The Chronicles Deck,Branded/Despia,Mirrorjade the Iceblade Dragon,CH01-EN042,3
The Chronicles Deck,Branded/Despia,Albion the Branded Dragon,CH01-EN043,3
The Chronicles Deck,Branded/Despia,Lubellion the Searing Dragon,CH01-EN044,3
The Chronicles Deck,Branded/Despia,Alba-Lenatus the Abyss Dragon,CH01-EN045,3
The Chronicles Deck,Branded/Despia,Titaniklad the Ash Dragon,CH01-EN046,3
The Chronicles Deck,Branded/Despia,Brigrand the Glory Dragon,CH01-EN047,3
The Chronicles Deck,Branded/Despia,Sprind the Irondash Dragon,CH01-EN048,3
The Chronicles Deck,Branded/Despia,Rindbrumm the Striking Dragon,CH01-EN049,3
The Chronicles Deck,Branded/Despia,Granguignol the Dusk Dragon,CH01-EN050,3
Legendary Modern Decks 2026,Mitsurugi,Manju of the Ten Thousand Hands,L26D-ENM01,1
Legendary Modern Decks 2026,Mitsurugi,Ash Blossom & Joyous Spring,L26D-ENM02,3
Legendary Modern Decks 2026,Mitsurugi,Night Sword Serpent,L26D-ENM03,1
Legendary Modern Decks 2026,Mitsurugi,"Mitsurugi no Mikoto, Kusanagi",L26D-ENM04,1
Legendary Modern Decks 2026,Mitsurugi,"Mitsurugi no Mikoto, Saji",L26D-ENM05,3
Legendary Modern Decks 2026,Mitsurugi,"Mitsurugi no Mikoto, Aramasa",L26D-ENM06,3
Legendary Modern Decks 2026,Mitsurugi,"Mitsurugi no Miko, Wousu",L26D-ENM07,1
Legendary Modern Decks 2026,Mitsurugi,Ame no Murakumo no Mitsurugi,L26D-ENM08,3
Legendary Modern Decks 2026,Mitsurugi,Futsu no Mitama no Mitsurugi,L26D-ENM09,1
Legendary Modern Decks 2026,Mitsurugi,Ame no Habakiri no Mitsurugi,L26D-ENM10,1
Legendary Modern Decks 2026,Mitsurugi,Pre-Preparation of Rites,L26D-ENM11,3
Legendary Modern Decks 2026,Mitsurugi,Pot of Extravagance,L26D-ENM12,3
Legendary Modern Decks 2026,Mitsurugi,Forbidden Droplet,L26D-ENM13,3
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Prayers,L26D-ENM14,3
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Ritual,L26D-ENM15,2
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Mirror,L26D-ENM16,1
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Magatama,L26D-ENM17,1
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Sacred Boundary,L26D-ENM18,1
Legendary Modern Decks 2026,Mitsurugi,Infinite Impermanence,L26D-ENM19,3
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Great Purification,L26D-ENM20,1
Legendary Modern Decks 2026,Mitsurugi,Mitsurugi Tempest,L26D-ENM21,1
Legendary Modern Decks 2026,Mitsurugi,Evilswarm Exciton Knight,L26D-ENM22,1
Legendary Modern Decks 2026,Mitsurugi,Tornado Dragon,L26D-ENM23,1
Legendary Modern Decks 2026,Mitsurugi,Number 41: Bagooska the Terribly Tired Tapir,L26D-ENM24,1
Legendary Modern Decks 2026,Mitsurugi,Number 90: Galaxy-Eyes Photon Lord,L26D-ENM25,1
